# fs=400.0
t,ax,ay,az
0.588820,451,-83,2321
0.588902,451,-84,2307
0.588993,456,-89,2298
0.589081,451,-80,2299
0.589169,434,-84,2289
0.589257,449,-80,2309
0.624905,445,-84,2305
0.625018,443,-85,2306
0.625114,438,-85,2318
0.625207,458,-95,2315
0.625301,443,-79,2333
0.625400,447,-109,2288
0.625493,445,-93,2297
0.625588,465,-80,2304
0.625681,461,-86,2308
0.625786,457,-102,2293
0.625879,445,-92,2298
0.645269,460,-87,2304
0.645382,454,-93,2309
0.670819,451,-96,2312
0.715320,441,-101,2327
0.715424,449,-91,2307
0.715518,459,-100,2308
0.715608,451,-85,2317
0.715694,458,-87,2306
0.715816,453,-91,2327
0.715903,451,-84,2310
0.715989,465,-81,2296
0.716077,448,-84,2303
0.716164,452,-93,2294
0.716250,453,-82,2302
0.716339,457,-88,2301
0.716427,448,-91,2310
0.716514,444,-88,2291
0.716601,457,-81,2315
0.716687,466,-88,2305
0.716791,450,-97,2308
0.716884,453,-95,2313
0.716975,448,-103,2313
0.717062,448,-92,2302
0.759337,442,-95,2306
0.759437,448,-91,2295
0.759524,455,-94,2315
0.759606,465,-98,2298
0.759687,461,-87,2294
0.759801,453,-97,2303
0.759885,440,-86,2300
0.759966,454,-85,2307
0.760047,461,-80,2305
0.760129,455,-88,2320
0.760211,460,-96,2307
0.760293,449,-94,2303
0.760374,444,-95,2321
0.760456,449,-91,2307
0.760538,453,-90,2305
0.760620,460,-90,2301
0.801383,460,-80,2299
0.801507,452,-89,2301
0.801611,453,-85,2316
0.834802,454,-96,2301
0.834916,449,-87,2310
0.835013,458,-86,2311
0.835109,445,-92,2298
0.835205,453,-80,2301
0.835299,444,-89,2318
0.855291,448,-89,2297
0.855411,458,-90,2312
0.855521,461,-88,2317
0.855626,462,-77,2296
0.855740,459,-78,2307
0.894768,458,-90,2304
0.894875,453,-87,2297
0.894966,442,-101,2307
0.895048,448,-88,2293
0.895130,444,-91,2302
0.895211,449,-83,2301
0.895293,451,-93,2306
0.895374,449,-93,2301
0.895456,450,-80,2295
0.895540,460,-81,2297
0.895622,464,-91,2309
0.895714,447,-76,2304
0.895805,454,-98,2309
0.895887,441,-91,2309
0.895969,442,-78,2306
0.896055,446,-100,2299
0.896136,452,-76,2309
0.896216,459,-84,2309
0.896297,448,-82,2310
0.896378,450,-87,2300
0.896461,458,-91,2298
0.896542,454,-94,2315
0.896624,452,-88,2313
0.896716,455,-81,2313
0.896797,446,-80,2298
0.896879,455,-80,2313
0.896960,444,-79,2305
0.897042,456,-92,2289
0.930200,457,-86,2310
0.930303,451,-94,2296
0.930394,455,-91,2305
0.930483,451,-91,2318
0.930570,450,-75,2297
0.930660,448,-92,2301
0.930774,441,-95,2305
0.930863,450,-85,2290
0.930952,455,-88,2307
0.931035,442,-95,2318
0.931117,438,-93,2307
0.931198,459,-86,2314
0.931281,464,-86,2287
0.949336,449,-83,2313
0.949435,452,-88,2316
0.949521,460,-96,2296
0.949605,452,-90,2299
0.949687,450,-95,2304
0.949803,448,-97,2307
0.949886,457,-81,2315
0.949968,453,-84,2288
0.974545,453,-89,2310
0.974644,450,-91,2315
0.974756,457,-89,2333
0.974842,444,-98,2295
0.974923,436,-92,2308
0.975004,459,-84,2304
0.975086,456,-90,2300
0.975167,452,-90,2317
1.020469,451,-86,2302
1.020639,450,-80,2302
1.020803,453,-87,2303
1.020945,450,-86,2284
1.021049,462,-91,2296
1.021143,448,-87,2307
1.021237,466,-86,2303
1.021329,446,-85,2320
1.021424,448,-90,2300
1.021517,452,-85,2305
1.021610,447,-85,2315
1.021712,458,-93,2307
1.021806,441,-94,2297
1.021899,444,-90,2269
1.021988,520,-37,2321
1.022083,563,-125,2282
1.022171,390,-84,2340
1.022262,359,-160,2287
1.022350,523,-21,2328
